turk_uydu,cop_parca,cop_kaynak,mesafe_t0_km,hiz_t0_km_s,tahmin_t24_km,gercek_t24_km,hata_km,hiz_t24_km_s,delta_mesafe_km,cop_inclination_deg,cop_eccentricity,cop_sma_km,cop_perigee_km,cop_apogee_km,roket_govdesi,malzeme,yanma_orani,yere_dusme_riski,orbital_risk_skoru,bilesik_risk_skoru,risk_sinifi,trend,hesap_utc
GOKTURK 1A,IRIDIUM 33 DEB,iridium_33_copleri,1161.72,3.031,3427.07,3001.81,-425.26,3.917,1840.08,86.3569,0.0011,7040.8627,662.0488,677.6767,False,"Kevlar Kaplama, Titanyum Yakıt Tankları (Hydrazine)",%80,0.6,0.8,0.48,YUKSEK,UZAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 1A,IRIDIUM 33 DEB,iridium_33_copleri,423.81,1.744,3603.01,3313.2,-289.81,3.228,2889.39,86.3793,0.0005,7042.3239,667.8921,674.7556,False,"Kevlar Kaplama, Titanyum Yakıt Tankları (Hydrazine)",%80,0.6,0.8,0.48,YUKSEK,UZAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 1A,IRIDIUM 33 DEB,iridium_33_copleri,2916.18,4.4,3646.74,3500.21,-146.53,6.564,584.02,86.3192,0.0005,7085.4193,710.7618,718.0768,False,"Kevlar Kaplama, Titanyum Yakıt Tankları (Hydrazine)",%80,0.6,0.8,0.48,YUKSEK,UZAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,IRIDIUM 33 DEB,iridium_33_copleri,1036.07,4.656,3827.29,5524.42,1697.13,3.734,4488.35,86.358,0.0011,7049.0244,670.2846,685.7643,False,"Kevlar Kaplama, Titanyum Yakıt Tankları (Hydrazine)",%80,0.6,0.8,0.48,YUKSEK,UZAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,IRIDIUM 33 DEB,iridium_33_copleri,2250.03,1.583,4037.93,2744.49,-1293.44,3.296,494.46,86.3242,0.002,7030.8609,645.7085,674.0134,False,"Kevlar Kaplama, Titanyum Yakıt Tankları (Hydrazine)",%80,0.6,0.8,0.48,YUKSEK,UZAKLASYOR,2026-03-28T18:22:13.487870+00:00
IMECE,IRIDIUM 33 DEB,iridium_33_copleri,6566.73,5.432,4096.19,2486.16,-1610.03,6.052,-4080.57,86.3192,0.0005,7085.4193,710.7618,718.0768,False,"Kevlar Kaplama, Titanyum Yakıt Tankları (Hydrazine)",%80,0.6,0.8,0.48,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,IRIDIUM 33 DEB,iridium_33_copleri,3985.33,3.795,4209.11,604.18,-3604.93,2.014,-3381.15,86.3237,0.0024,7047.4918,659.5891,693.3945,False,"Kevlar Kaplama, Titanyum Yakıt Tankları (Hydrazine)",%80,0.6,0.8,0.48,YUKSEK,UZAKLASYOR,2026-03-28T18:22:13.487870+00:00
IMECE,IRIDIUM 33 DEB,iridium_33_copleri,1144.47,1.923,4435.22,4677.89,242.67,4.945,3533.41,86.3789,0.0026,7078.9491,689.8709,726.0274,False,"Kevlar Kaplama, Titanyum Yakıt Tankları (Hydrazine)",%80,0.6,0.8,0.48,YUKSEK,UZAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,IRIDIUM 33 DEB,iridium_33_copleri,3535.56,3.95,4807.17,2030.74,-2776.43,2.425,-1504.82,86.3272,0.0026,7061.3347,672.0119,708.6574,False,"Kevlar Kaplama, Titanyum Yakıt Tankları (Hydrazine)",%80,0.6,0.8,0.48,YUKSEK,UZAKLASYOR,2026-03-28T18:22:13.487870+00:00
IMECE,IRIDIUM 33 DEB,iridium_33_copleri,11409.05,14.018,4833.47,3351.2,-1482.27,7.154,-8057.86,86.4697,0.0181,7176.3948,675.4296,935.3601,False,"Kevlar Kaplama, Titanyum Yakıt Tankları (Hydrazine)",%80,0.6,0.8,0.48,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,IRIDIUM 33 DEB,iridium_33_copleri,3128.11,3.318,4837.56,1389.75,-3447.81,1.354,-1738.36,86.3396,0.001,6994.9401,617.1515,630.7287,False,"Kevlar Kaplama, Titanyum Yakıt Tankları (Hydrazine)",%80,0.6,0.8,0.48,YUKSEK,UZAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 1A,IRIDIUM 33 DEB,iridium_33_copleri,1634.5,1.111,4899.86,3885.55,-1014.31,3.781,2251.06,86.3827,0.0005,7082.8914,708.6793,715.1035,False,"Kevlar Kaplama, Titanyum Yakıt Tankları (Hydrazine)",%80,0.6,0.8,0.48,YUKSEK,UZAKLASYOR,2026-03-28T18:22:13.487870+00:00
IMECE,COSMOS 2251 DEB,cosmos_2251_copleri,3536.12,3.137,3267.99,2639.76,-628.23,5.368,-896.35,74.0332,0.002,7026.7838,641.8082,669.7593,False,"Alüminyum Alaşım, Çelik Reaksiyon Çarkları",%85,0.5,0.8,0.4,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,COSMOS 2251 DEB,cosmos_2251_copleri,2056.93,2.772,3807.74,3491.55,-316.19,4.233,1434.62,74.0414,0.0008,7040.618,664.3361,674.8999,False,"Alüminyum Alaşım, Çelik Reaksiyon Çarkları",%85,0.5,0.8,0.4,YUKSEK,UZAKLASYOR,2026-03-28T18:22:13.487870+00:00
IMECE,COSMOS 2251 DEB,cosmos_2251_copleri,6061.81,3.167,4214.56,945.9,-3268.66,7.026,-5115.91,73.9402,0.002,6736.6549,351.9229,379.3869,False,"Alüminyum Alaşım, Çelik Reaksiyon Çarkları",%85,0.5,0.8,0.4,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 1A,COSMOS 2251 DEB,cosmos_2251_copleri,2833.46,14.949,4223.16,2053.71,-2169.45,14.427,-779.75,74.0347,0.0027,7154.3476,764.1775,802.5177,False,"Alüminyum Alaşım, Çelik Reaksiyon Çarkları",%85,0.5,0.8,0.4,YUKSEK,UZAKLASYOR,2026-03-28T18:22:13.487870+00:00
IMECE,COSMOS 2251 DEB,cosmos_2251_copleri,1708.74,3.284,4271.71,2123.68,-2148.03,4.356,414.94,74.0305,0.0012,7072.0582,692.337,709.7795,False,"Alüminyum Alaşım, Çelik Reaksiyon Çarkları",%85,0.5,0.8,0.4,YUKSEK,UZAKLASYOR,2026-03-28T18:22:13.487870+00:00
