idx,norad_id,isim,kaynak,epoch_year,epoch_day,bstar_drag,inclination_deg,raan_deg,eccentricity,arg_perigee_deg,mean_anomaly_deg,mean_motion_rev_day,semi_major_axis_km,perigee_alt_km,apogee_alt_km,period_hours,orbit_regime,is_outlier
0,50032,COSMOS 1408 DEB,cosmos_1408_copleri,2026,86.87340991,9.736e-05,82.5627,310.651,0.0015135,185.1591,174.9506,15.46960456,6803.7607,422.4633,443.0582,1.5514,LEO,False
1,50058,COSMOS 1408 DEB,cosmos_1408_copleri,2026,86.64844403,0.00034302,82.6112,318.8486,0.0014193,67.055,293.221,15.72994115,6728.4822,347.9325,367.032,1.5258,LEO,False
2,50404,COSMOS 1408 DEB,cosmos_1408_copleri,2026,86.4749083,0.0029821,82.1917,105.8081,0.0111902,191.4744,168.395,15.39615377,6825.3828,378.0054,530.7602,1.5588,LEO,True
3,50621,COSMOS 1408 DEB,cosmos_1408_copleri,2026,86.68427744,0.00034251,82.5697,324.3689,0.0025199,119.6693,240.708,15.63676798,6755.184,367.1616,401.2063,1.5348,LEO,True
4,25730,FENGYUN 1C,fengyun_1c_copleri,2026,86.75116676,0.00066418,98.8677,159.2068,0.0012383,124.06,236.1757,14.26717762,7180.86,800.968,818.7521,1.6822,LEO,False
5,29733,FENGYUN 1C DEB,fengyun_1c_copleri,2026,86.39236189,0.00036854,99.2129,131.5289,0.0562993,320.3699,51.7905,12.96634364,7653.4425,851.559,1713.3259,1.8509,LEO,True
6,29734,FENGYUN 1C DEB,fengyun_1c_copleri,2026,86.77878166,0.0035981,99.1708,4.5267,0.0609257,130.6257,308.0577,12.91625103,7673.2178,834.7216,1769.7139,1.8581,LEO,True
7,29735,FENGYUN 1C DEB,fengyun_1c_copleri,2026,86.69850483,0.0010347,99.3878,349.19,0.0702718,302.887,50.6473,12.7554742,7737.5613,822.8289,1910.2937,1.8815,LEO,True
8,29736,FENGYUN 1C DEB,fengyun_1c_copleri,2026,86.91158994,0.0011669,99.4144,251.2199,0.0720823,332.703,184.7338,12.57647051,7810.8085,876.7875,2002.8295,1.9083,OTHER,True
9,29737,FENGYUN 1C DEB,fengyun_1c_copleri,2026,85.33078156,-0.00070304,99.5819,28.3793,0.0697408,274.7814,245.7124,12.66047893,7776.2178,862.8982,1947.5375,1.8957,LEO,True
10,29738,FENGYUN 1C DEB,fengyun_1c_copleri,2026,86.84822965,0.0016689,99.4227,239.7704,0.0853275,66.6121,302.2343,12.6184786,7793.4636,757.4668,2087.4604,1.902,OTHER,True
11,29740,FENGYUN 1C DEB,fengyun_1c_copleri,2026,86.48891354,0.002198,99.0492,273.2222,0.0973428,349.3374,8.8308,12.08483883,8021.2355,869.426,2431.045,1.986,OTHER,True
12,29741,FENGYUN 1C DEB,fengyun_1c_copleri,2026,86.35837314,0.0030775,99.169,296.0237,0.1025672,218.5835,328.0833,12.01359142,8052.9179,855.9526,2507.8831,1.9977,OTHER,True
13,29748,FENGYUN 1C DEB,fengyun_1c_copleri,2026,86.16167986,0.037869,99.7889,355.0011,0.0604698,181.9866,177.8755,11.89915412,8104.4668,1243.3913,2223.5423,2.017,OTHER,True
14,29750,FENGYUN 1C DEB,fengyun_1c_copleri,2026,86.6155505,0.00024795,98.7421,117.7991,0.0035843,6.2068,119.1577,14.097497,7238.3654,841.4209,893.3098,1.7024,LEO,True
15,29751,FENGYUN 1C DEB,fengyun_1c_copleri,2026,86.83584552,0.0001463,98.5294,116.6319,0.0088922,192.7051,347.0649,14.23724113,7190.9226,755.9795,883.8657,1.6857,LEO,True
16,29754,FENGYUN 1C DEB,fengyun_1c_copleri,2026,86.25156231,0.0006925,98.8822,194.276,0.0034056,301.0807,88.2086,14.19573811,7204.9315,809.3944,858.4686,1.6906,LEO,True
17,29758,FENGYUN 1C DEB,fengyun_1c_copleri,2026,86.63063664,0.0017555,98.855,211.2361,0.0018704,4.2411,10.4747,14.42887861,7127.1099,742.7793,769.4404,1.6633,LEO,False
18,29760,FENGYUN 1C DEB,fengyun_1c_copleri,2026,86.48817495,0.00014932,98.766,90.6961,0.0129611,238.0619,120.7894,14.08378366,7243.0633,778.1852,965.9413,1.7041,LEO,True
19,29762,FENGYUN 1C DEB,fengyun_1c_copleri,2026,86.92744307,0.00035822,98.5929,72.1228,0.0204611,29.9216,23.3761,14.22757579,7194.1789,675.9781,970.3798,1.6869,LEO,True
